# File: FAO_Fert_Prod_tN_RESOURCESTAT.csv
# Title: FAO fertilizer production by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
79,Germany,3102,Nutrient nitrogen N (total),5510,Production,tonnes,1883765,2010047,1797292,2065951,2143245,2164501,2350575,2379444,2074858,1933401,2079480,2154092,2195355,2271331,2349998,2300747,2134000,1165000,1095000,1191000,1131000,1167000,1174000,1269000,1125000,1175000,1250000,1039500,1066394,1256291,1120999,1160639,1253773,1185726,1504452,961882,1224687,1279619,1145336,1306175,1316100,1316100,1253300,1371485.41,1321606.8,1486440.58,1508707.29
80,Bosnia and Herzegovina,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,44310,31717,84343.2,63279.65,48908.35,67363.94,77138.25,43843.48,49908.7,47811.14,47811.14
81,Ghana,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Greece,3102,Nutrient nitrogen N (total),5510,Production,tonnes,262985,264100,288460,273021,278100,310740,320000,311300,306849,363700,399700,426000,436500,406800,412800,425500,426100,419400,377700,341000,292000,317000,275000,316000,240000,231000,214000,249900,240000,110771,209625,110771,93051,45171,35117,31970,21961,80421,207705,119737,98237.47,128936.1,163168.85,106637.01,197665.88,107946.4,89425.22
89,Guatemala,3102,Nutrient nitrogen N (total),5510,Production,tonnes,3000,3000,3000,6000,6400,6603,2000,11400,8900,12400,8000,9000,10000,10000,6213,7000,7000,7000,8000,8500,8095.238095238095,7690.476190476191,7285.714285714286,6880.952380952381,6476.190476190476,6071.428571428572,5666.666666666667,5261.9047619047615,4857.142857142857,4452.380952380952,4047.6190476190477,3642.857142857143,3238.0952380952376,2833.333333333334,2428.5714285714284,2023.8095238095239,1619.0476190476193,1214.2857142857147,809.5238095238092,404.7619047619055,0,0,0,0,0,0,0
90,Guinea,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Guyana,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Honduras,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Hungary,3102,Nutrient nitrogen N (total),5510,Production,tonnes,424243,416200,436020,548948,572425,612451,639741,651002,690701,670833,699802,687780,700477,666617,692357,548300,573300,428600,231800,161900,192550,238500,219678,260890,251400,213500,278700,289600,272800,210134,205301,266070,311302,302000,222968,212387,229268,233354,300576,249222,294404.6,341921.14,341921.14,341921.14,341921.14,341921.14,341921.14
98,Croatia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,279541,260800,273769,291000,305900,324131,248043,309838,328071,285300,262000,286064,335148,323223,332406,350988,353180,305455,357342,379467,345669,328380,342968,351518,342220.28,386829.69,323525.21,377740.37
99,Iceland,3102,Nutrient nitrogen N (total),5510,Production,tonnes,9674,7315,8982,10657,10046,9695,10022,9002,8825,8000,6100,11968,11600,11600,10000,9640,10320,10142,12971,10735,10000,11500,8736,12333,12000,11500,12000,12000,87,76.125,65.25,54.375,43.5,32.625,21.75,10.875,0,0,0,0,0,0,0,0,0,0,0
