# File: FAO_Fert_Cons_tN_RESOURCESTAT.csv
# Title: FAO fertilizer consumption (Ag use) by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-14
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
75,Gambia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,302,400,165,200,494,1050,1467,640,319,758,1100,1000,3000,3000,800,310,659,200,300,200,200,200,344,205,300,2300,1000,600,600,1169.5,1739,1200,1671,1672,1520,835,1365,1785,2628,453.1,56.74,25.36,141.24,128.67,37.48,2006.92,670.12
79,Germany,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,1766941,1872239,1906142,2077951,2095502,2138054,2225089,2302615,2072801,2171500,2071756,2148741,2285700,2287242,2375335,2413000,2253000,1787300,1720000,1680000,1612215,1787436,1770000,1758008,1788388,1903017,2014010,1847507,1792212,1787833,1827767,1778438,1784996,1599788,1807176,1550625,1569045,1786485,1640414,1648828,1675289,1822791,1710616,1658837,1496649,1342284,1372084
80,Bosnia and Herzegovina,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,,,,,,,,,,,,,,,,,,,,5000,5000,5000,5000,3000,3000,23000,28000,27800,18600,18600,10768,33472.58,35510.77,22969.64,21096.97,42319.8,63542.64,61304,84152,101451.42,85024.04,104702.52,112139.97,86574.41,89163.38,69452.62,69452.62
81,Ghana,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,2946,3782,11000,12000,10100,10600,8400,5000,13000,12500,11000,5000,5000,4100,5140,7049,5783,8000,7000,7000,5203,2700,3200,7200,8706,7274,8002,7048,14169,4330,8559,5702,11105,30171,25924,18374,21160,24835,10738,42320,45343,38177,42900,42900,82000,65200,76500
84,Greece,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,244293,251500,275080,291310,294000,341200,356100,333300,373289,383800,418000,426600,458300,431600,388800,415600,404200,427500,408400,393000,328000,346000,315000,340000,307000,292000,291000,285000,261000,271991,284707,225050,203847,172621,136564,175038,114160,177135,269202,176000,189208,179850,164463,173123,181726,179436,189748
89,Guatemala,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,32000,36900,35100,49926,52000,52000,58200,51900,47000,58700,41700,55500,60000,80000,83800,61600,83400,80000,98200,100000,107000,112000,115000,110000,118445,101000,124000,124500,114996,84157,118070,140350,131425,145722,133081,88314,120544,142138,180502,185574.05,181937.6,162338.7,181639.62,167286.43,174189.9,172847.57,169583.26
90,Guinea,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,800,650,600,600,200,200,1100,42,447,617,352,87,172,280,300,261,391,731,1366,265,1059,2300,2817,2449,680,1120,1000,1000,1000,1794,1663,1674,1970,1978,3178,2795,1259,2528,5098,5378.76,2723.09,2920.57,2412.19,2229,13047.26,7055.31,7055.31
91,Guyana,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,9260,11200,7703,6030,5067,11671,6520,4260,9318,9179,9564,9686,7309,12441,8000,10600,12000,8000,13000,10500,10000,8100,12000,10900,13974,13800,15530,10737,11200,13610,9619,19117,6180,8300,6364,18262,6704,14136,6373,11312.42,16594.98,14284.77,17224.14,11114.66,7991.63,19817.34,21371.78
95,Honduras,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,14000,9500,11400,11000,15200,9900,10400,16000,14100,12821,19016,23000,14131,11638,17306,21521,20299,11105,20000,20922,33000,12000,72300,49800,82939,93893,109500,135900,110000,34115.63,42423.03,26290.88,41865.92,66688.46,63491.18,55554.03,47616.87,56041.67,85542.5,75417.43,74712.54,74007.65,75343.02,95944.75,110175.75,122752.42,86136.63
97,Hungary,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,492735,551298,535838,522414,582055,570129,570125,536778,562930,646546,625369,625906,558375,593393,613827,646301,572800,358644,264468,148000,225300,243123,246752,318506,285800,282000,320600,320000,336000,303000,289000,293000,260000,289000,320000,316912,272056,272572,303445,312940,342949,326753,338781,403970,424476,424277,415901
