# File: FAO_an_Dairy_Stocks.csv
# Title: FAO all animal stock by area_item_year
# Units: Head
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:QCL FAO.udpate:2022-02-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciccicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,element_code,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,Bulgaria,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,5952873,5937856,6088321,5917330,6066909,6072550,6129325,6271910,6449362,6554831,6498656,6327333,5871775,5636160,5366166,5289153,5006961,4951612,4665150,4091660,3191800,2753830,2340550,2140000,1999690,2078400,2019600,1910000,1725000,1302782,1379061,1278759,1351212,1222492,1192982,1122818,1103936,1071511,1011999,1096962,999527,1063599,1029081,1024550,1026221,1038260,999060,1008100
27,Bulgaria,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,240574,242520,255240,241033,261345,287336,319766,357558,387549,407759,418677,398396,388523,376248,365921,370625,366559,417142,385785,473079,522926,581462,654693,612357,715090,807700,847100,849100,450000,553859,619466,592572,578504,505895,450559,406064,355187,303116,278033,272859,236056,244559,227618,219869,199438,239880,204090,216270
28,Myanmar,882,"Milk, whole fresh cow",Milk Animals,5318,Head,793971,846652,858314,872327,892081,919676,963155,989127,1026925,1060665,1082810,1101825,1126985,1131623,1150406,1170233,1060317,1079448,1088028,1102405,1114347,1124134,1143374,1174004,1195180,1217160,1245783,1271829,1301306,1339920,1360000,1385000,1406275,1434260,2106075,2269082,2400000,2600000,1995860,2800000,2850000,2969000,3600000,3700000,3700000,3700000,3900000,3766667
28,Myanmar,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,180227,196024,200027,200647,200500,205200,210700,220500,228300,234000,237600,241100,248500,249800,253700,260300,234400,239000,240300,243700,244800,247082,255572,262812,266468,271041,277358,283184,290029,296040,301373,307254,313727,321280,473717,513086,520000,353440,364806,375574,385598,395370,405535,415616,436165,441547,450319,398944
28,Myanmar,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,48100,46800,45700,47800,51750,53750,54750,59000,62500,64500,72750,79000,83000,79250,76000,78250,67250,69000,69750,71000,76400,75900,75900,76200,79788,82570,84743,86946,89207,91526,96000,101000,110000,120000,105000,115000,147500,136556,167522,172282,192944,215121,238726,264090,237922,240961,247973,278427
28,Myanmar,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,230000,240000,250000,255000,264000,269000,270000,274000,278000,282000,284000,286000,288000,291000,288500,296500,258000,259000,253000,269000,273000,278000,291000,304088,318444,329674,338336,347225,356253,365516,385000,405000,440000,480000,560000,616000,680000,724273,799647,907990,988228,1095244,1209575,1361562,1539780,1730434,1911906,1824136
29,Burundi,882,"Milk, whole fresh cow",Milk Animals,5318,Head,136000,137000,141000,140000,143000,144000,147000,120000,93000,95000,90000,91000,83000,105000,93000,94000,93000,95000,96000,101000,102000,88000,77000,73000,68000,76000,65700,53000,55000,55000,42000,41000,46000,34000,55000,74700,72000,80000,100000,90000,100000,115000,112760,155000,132000,146511,140084,135113
29,Burundi,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,59000,61000,63000,62000,61000,54000,56000,63000,61000,63000,72000,74000,63000,66000,63000,70000,65000,72000,73000,75000,76000,72000,60000,48082,50000,45000,48000,31500,32000,32000,32500,34400,34000,37000,41000,39360,40800,42200,42500,43000,43500,45000,45000,80607,72796,75081,93506,95425
29,Burundi,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,147000,158000,164000,163000,143000,141000,152000,164000,184000,173000,195000,199000,187000,181000,190000,195000,200000,232000,236000,238000,240000,230000,220000,200000,195000,198000,205000,210000,173000,189000,240000,238500,225000,360000,400000,364923,422000,438900,440000,445000,447000,481271,471805,575519,671980,615254,612142,633894
32,Cameroon,882,"Milk, whole fresh cow",Milk Animals,5318,Head,93000,96000,104000,110000,116700,120000,155000,184000,189000,175600,171550,178000,207500,212750,218100,223500,229100,234850,235000,236000,240000,245000,250000,243996,248580,252948,255000,260000,289552,255000,260000,265000,270000,297684,297832,261968,260331,310000,322000,325000,325000,326000,301421,304932,299292,300119,300963,301807
