# File: GCAMLandProfit.csv
# Title: GCAM Land Profit from model results
# Units: NA
# Author: XZ
# Description: We pull results to compare unmanaged land value from different sources
# Source: GCAM
# Column types: ccnn
# ----------
region,LandLeaf,Tkm2,Rent_DollarPerTkm2
Africa_Eastern,Legumes_AfrCstE_RFD_lo,3.06949,3294700
Africa_Eastern,Legumes_AfrCstNE_IRR_hi,0.0010529,2.72E+07
Africa_Eastern,Legumes_AfrCstNE_IRR_lo,0.0010529,1.81E+07
Africa_Eastern,Legumes_AfrCstNE_RFD_hi,0.210227,8785010
Africa_Eastern,Legumes_AfrCstNE_RFD_lo,0.210227,5856640
Africa_Eastern,Legumes_CongoR_IRR_hi,0,0
Africa_Eastern,Legumes_CongoR_IRR_lo,0,0
Africa_Eastern,Legumes_CongoR_RFD_hi,1.20929,1.54E+07
Africa_Eastern,Legumes_CongoR_RFD_lo,1.20929,1.03E+07
Africa_Eastern,Legumes_LChad_IRR_hi,5.62E-04,8.90E+07
Africa_Eastern,Legumes_LChad_IRR_lo,5.62E-04,5.93E+07
Africa_Eastern,Legumes_LChad_RFD_hi,0.0690204,3.90E+07
Africa_Eastern,Legumes_LChad_RFD_lo,0.0690204,2.60E+07
Africa_Eastern,Legumes_Madagascar_IRR_hi,0,0
Africa_Eastern,Legumes_Madagascar_IRR_lo,0,0
Africa_Eastern,Legumes_Madagascar_RFD_hi,0.490662,1.69E+07
Africa_Eastern,Legumes_Madagascar_RFD_lo,0.490662,1.13E+07
Africa_Eastern,Legumes_NileR_IRR_hi,0.298388,4.31E+07
Africa_Eastern,Legumes_NileR_IRR_lo,0.298388,2.88E+07
Africa_Eastern,Legumes_NileR_RFD_hi,17.9208,1.12E+07
Africa_Eastern,Legumes_NileR_RFD_lo,17.9208,7472140
Africa_Eastern,Legumes_RiftValley_IRR_hi,0.0472881,2.04E+07
Africa_Eastern,Legumes_RiftValley_IRR_lo,0.0472881,1.36E+07
Africa_Eastern,Legumes_RiftValley_RFD_hi,4.5242,1.53E+07
Africa_Eastern,Legumes_RiftValley_RFD_lo,4.5242,1.02E+07
Africa_Eastern,Legumes_ShebJubR_IRR_hi,0.0014652,3.97E+07
Africa_Eastern,Legumes_ShebJubR_IRR_lo,0.0014652,2.65E+07
Africa_Eastern,Legumes_ShebJubR_RFD_hi,1.13452,2.96E+07
Africa_Eastern,Legumes_ShebJubR_RFD_lo,1.13452,1.97E+07
Africa_Eastern,MiscCropTree_AfrCstE_IRR_hi,0.144894,1848600
Africa_Eastern,MiscCropTree_AfrCstE_IRR_lo,0.144894,1232380
Africa_Eastern,MiscCropTree_AfrCstE_RFD_hi,0.845802,1323690
Africa_Eastern,MiscCropTree_AfrCstE_RFD_lo,0.845802,882458
Africa_Eastern,MiscCropTree_AfrCstNE_IRR_hi,1.90E-05,1.23E+07
Africa_Eastern,MiscCropTree_AfrCstNE_IRR_lo,1.90E-05,8167390
Africa_Eastern,MiscCropTree_AfrCstNE_RFD_hi,0.006287,1.30E+07
Africa_Eastern,MiscCropTree_AfrCstNE_RFD_lo,0.006287,8644380
Africa_Eastern,MiscCropTree_CongoR_IRR_hi,0.0027495,6025930
Africa_Eastern,MiscCropTree_CongoR_IRR_lo,0.0027495,4017940
Africa_Eastern,MiscCropTree_CongoR_RFD_hi,0.0834818,6387430
Africa_Eastern,MiscCropTree_CongoR_RFD_lo,0.0834818,4258290
Africa_Eastern,MiscCropTree_Madagascar_IRR_hi,0,0
Africa_Eastern,MiscCropTree_Madagascar_IRR_lo,0,0
Africa_Eastern,MiscCropTree_Madagascar_RFD_hi,2.65894,1735820
Africa_Eastern,MiscCropTree_Madagascar_RFD_lo,2.65894,1157220
Africa_Eastern,MiscCropTree_NileR_IRR_hi,0.029782,3005450
Africa_Eastern,MiscCropTree_NileR_IRR_lo,0.029782,2003640
Africa_Eastern,MiscCropTree_NileR_RFD_hi,2.41199,6386150
Africa_Eastern,MiscCropTree_NileR_RFD_lo,2.41199,4257430
Africa_Eastern,MiscCropTree_RiftValley_IRR_hi,0.0089043,6166830
Africa_Eastern,MiscCropTree_RiftValley_IRR_lo,0.0089043,4111030
Africa_Eastern,MiscCropTree_RiftValley_RFD_hi,0.797901,6126440
Africa_Eastern,MiscCropTree_RiftValley_RFD_lo,0.797901,4084290
Africa_Eastern,MiscCropTree_ShebJubR_IRR_hi,0.0057885,6063590
Africa_Eastern,MiscCropTree_ShebJubR_IRR_lo,0.0057885,4042390
Africa_Eastern,MiscCropTree_ShebJubR_RFD_hi,0.230756,9742780
Africa_Eastern,MiscCropTree_ShebJubR_RFD_lo,0.230756,6495180
Africa_Eastern,MiscCrop_AfrCstE_IRR_hi,0.0840706,6825970
Africa_Eastern,MiscCrop_AfrCstE_IRR_lo,0.0840706,4550620
Africa_Eastern,MiscCrop_AfrCstE_RFD_hi,0.950997,5765260
Africa_Eastern,MiscCrop_AfrCstE_RFD_lo,0.950997,3843510
Africa_Eastern,MiscCrop_AfrCstNE_IRR_hi,1.92E-04,4111790
Africa_Eastern,MiscCrop_AfrCstNE_IRR_lo,1.92E-04,2749930
Africa_Eastern,MiscCrop_AfrCstNE_RFD_hi,0.0046382,4429980
Africa_Eastern,MiscCrop_AfrCstNE_RFD_lo,0.0046382,2953320
Africa_Eastern,MiscCrop_CongoR_IRR_hi,3.51E-05,5959970
Africa_Eastern,MiscCrop_CongoR_IRR_lo,3.51E-05,3873980
Africa_Eastern,MiscCrop_CongoR_RFD_hi,0.0540663,6085280
Africa_Eastern,MiscCrop_CongoR_RFD_lo,0.0540663,4056890
Africa_Eastern,MiscCrop_Madagascar_IRR_hi,0.0011932,6611100
Africa_Eastern,MiscCrop_Madagascar_IRR_lo,0.0011932,4405850
Africa_Eastern,MiscCrop_Madagascar_RFD_hi,0.0805562,3881690
Africa_Eastern,MiscCrop_Madagascar_RFD_lo,0.0805562,2587820
Africa_Eastern,MiscCrop_NileR_IRR_hi,0.032239,9488180
Africa_Eastern,MiscCrop_NileR_IRR_lo,0.032239,6325460
Africa_Eastern,MiscCrop_NileR_RFD_hi,1.36478,9375900
Africa_Eastern,MiscCrop_NileR_RFD_lo,1.36478,6250600
Africa_Eastern,MiscCrop_RiftValley_IRR_hi,0.0160541,1.30E+07
Africa_Eastern,MiscCrop_RiftValley_IRR_lo,0.0160541,8642620
Africa_Eastern,MiscCrop_RiftValley_RFD_hi,0.633734,1.11E+07
Africa_Eastern,MiscCrop_RiftValley_RFD_lo,0.633734,7383200
Africa_Eastern,MiscCrop_ShebJubR_IRR_hi,0.0038077,2.11E+07
Africa_Eastern,MiscCrop_ShebJubR_IRR_lo,0.0038077,1.40E+07
Africa_Eastern,MiscCrop_ShebJubR_RFD_hi,0.175284,1.78E+07
Africa_Eastern,MiscCrop_ShebJubR_RFD_lo,0.175284,1.18E+07
Africa_Eastern,NutsSeedsTree_AfrCstE_IRR_hi,0.0021585,1.21E+08
Africa_Eastern,NutsSeedsTree_AfrCstE_IRR_lo,0.0021585,8.05E+07
Africa_Eastern,NutsSeedsTree_AfrCstE_RFD_hi,0.0157304,1.28E+08
Africa_Eastern,NutsSeedsTree_AfrCstE_RFD_lo,0.0157304,8.56E+07
Africa_Eastern,NutsSeedsTree_AfrCstNE_IRR_hi,1.35E-04,6.21E+07
Africa_Eastern,NutsSeedsTree_AfrCstNE_IRR_lo,1.35E-04,4.14E+07
Africa_Eastern,NutsSeedsTree_AfrCstNE_RFD_hi,0.0031952,6.23E+07
Africa_Eastern,NutsSeedsTree_AfrCstNE_RFD_lo,0.0031952,4.15E+07
Africa_Eastern,NutsSeedsTree_Madagascar_IRR_hi,0,0
Africa_Eastern,NutsSeedsTree_Madagascar_IRR_lo,0,0
Africa_Eastern,NutsSeedsTree_Madagascar_RFD_hi,0.163244,1.59E+07
Africa_Eastern,NutsSeedsTree_Madagascar_RFD_lo,0.163244,1.06E+07
